date,close
01/01/18,3.8251862149
01/02/18,1.2562996831
01/03/18,4.7393167339
01/04/18,4.1856939426
01/05/18,3.3938401379
01/06/18,4.6044169365
01/07/18,2.626336495
01/08/18,0.5362330313
01/09/18,1.4733600974
01/10/18,1.7042097761
01/11/18,3.7563723557
01/12/18,1.6412840411
01/13/18,1.627228071
01/14/18,1.8231964633
01/15/18,0.689972435
01/16/18,1.3938876821
01/17/18,1.8510938991
01/18/18,0.6029062771
01/19/18,3.929187583
01/20/18,4.9011524588
01/21/18,4.989379121
01/22/18,3.9423695341
01/23/18,4.4760087596
01/24/18,4.9889846625
01/25/18,0.1315506891
01/26/18,2.9115207075
01/27/18,1.7982452202
01/28/18,0.5726583491
01/29/18,0.7120378318
01/30/18,2.9844575781
01/31/18,4.4155805368
02/01/18,3.8619433566
02/02/18,0.0985845259
02/03/18,0.2368614926
02/04/18,0.5467709559
02/05/18,2.4001679922
02/06/18,2.8663400977
02/07/18,3.0865333766
02/08/18,1.6212996063
02/09/18,2.6849138818
02/10/18,3.7738322877
02/11/18,0.2818194537
02/12/18,3.7156902831
02/13/18,2.9733610576
02/14/18,1.9676021394
02/15/18,0.8647387263
02/16/18,2.5278767707
02/17/18,3.9134726383
02/18/18,1.6314762276
02/19/18,1.0525349669
02/20/18,2.2013394348
02/21/18,1.3410795656
02/22/18,0.6500828313
02/23/18,3.5804682309
02/24/18,4.7364700377
02/25/18,1.3472563181
02/26/18,0.0890633132
02/27/18,3.4179800507
02/28/18,4.5652026622
03/01/18,2.9799326868
03/02/18,0.4244959429
03/03/18,3.9632931314
03/04/18,4.9751232499
03/05/18,2.339081141
03/06/18,2.4157340424
03/07/18,2.6246246298
03/08/18,4.8722012245
03/09/18,4.3855972992
03/10/18,2.7541219566
03/11/18,0.2128671327
03/12/18,4.5793476652
03/13/18,1.2641426422
03/14/18,3.174662795
03/15/18,2.6524473134
03/16/18,1.6222182239
03/17/18,1.7924146754
03/18/18,1.1628300105
03/19/18,1.0621333232
03/20/18,2.2387775697
03/21/18,3.0057771456
03/22/18,4.3607953507
03/23/18,4.5836978443
03/24/18,3.8076270861
03/25/18,0.6037965147
03/26/18,4.1790393605
03/27/18,1.8342646296
03/28/18,0.5851144417
03/29/18,1.7133455212
03/30/18,3.0384069921
03/31/18,2.8901408145
04/01/18,0.379673015
04/02/18,4.3787836212
04/03/18,3.6485233092
04/04/18,1.9841466514
04/05/18,4.1917536176
04/06/18,0.3847007034
04/07/18,0.7042696198
04/08/18,3.4483363669
04/09/18,3.0312711651
04/10/18,1.9701714329
04/11/18,1.5924073048
04/12/18,3.4376404214
04/13/18,2.2316936349
04/14/18,0.4795934174
04/15/18,0.4223805378
04/16/18,3.4296052297
04/17/18,1.7185185625
04/18/18,1.8018762406
04/19/18,4.8326480482
04/20/18,1.5427314979
04/21/18,0.7285543662
04/22/18,3.2092785112
04/23/18,3.7833472024
04/24/18,2.3415785572
04/25/18,0.1863753962
04/26/18,1.6780450334
04/27/18,0.1590534228
04/28/18,1.9067101592
04/29/18,3.4284522387
04/30/18,1.3270035807
05/01/18,3.5561682601
05/02/18,4.2657643527
05/03/18,0.5592918741
05/04/18,4.6018132309
05/05/18,3.1394645962
05/06/18,4.0605028419
05/07/18,4.9269926108
05/08/18,1.2599524613
05/09/18,2.3962857105
05/10/18,3.5994830022
05/11/18,2.1496306069
05/12/18,0.7933376096
05/13/18,4.4490220964
05/14/18,0.8723954937
05/15/18,1.6165250707
05/16/18,0.7225683811
05/17/18,3.7718884398
05/18/18,2.026560452
05/19/18,1.0650524848
05/20/18,4.2390551473
05/21/18,2.1834425847
05/22/18,3.4524364137
05/23/18,4.2842308238
05/24/18,3.1943011488
05/25/18,3.2293692549
05/26/18,4.2539133285
05/27/18,2.8995336716
05/28/18,0.2091718407
05/29/18,1.5600258915
05/30/18,1.3686026527
05/31/18,4.7161573011
06/01/18,2.4702309503
06/02/18,0.4943319056
06/03/18,0.9146738519
06/04/18,2.8389339063
06/05/18,0.9342264267
06/06/18,4.7643297782
06/07/18,1.6219362908
06/08/18,1.9592329021
06/09/18,4.3972074566
06/10/18,4.6389114238
06/11/18,4.3051586463
06/12/18,1.8629122091
06/13/18,4.1624383964
06/14/18,1.0807890975
06/15/18,2.9586220908
06/16/18,3.6408473721
06/17/18,2.4713391644
06/18/18,1.8063174201
06/19/18,2.1372059035
06/20/18,2.4182399474
06/21/18,4.546407056
06/22/18,0.7789950105
06/23/18,2.9976300679
06/24/18,2.0269812599
06/25/18,0.8562167588
06/26/18,4.9666901516
06/27/18,1.2614056576
06/28/18,2.3535889763
06/29/18,1.0887914604
06/30/18,4.2246745447
07/01/18,0.140113324
07/02/18,1.9408054698
07/03/18,3.0110289289
07/04/18,0.9389735682
07/05/18,0.2453825743
07/06/18,2.3123475231
07/07/18,1.4308084534
07/08/18,1.8031994366
07/09/18,4.8832637477
07/10/18,3.223796613
07/11/18,2.7044269445
07/12/18,2.9292330517
07/13/18,2.2161654599
07/14/18,0.4283913608
07/15/18,1.7800761738
07/16/18,2.3703114657
07/17/18,2.8001698353
07/18/18,1.5700098228
07/19/18,0.9707360298
07/20/18,4.1688838215
07/21/18,0.002192405
07/22/18,4.4901961124
07/23/18,0.8706276364
07/24/18,0.0062175211
07/25/18,4.2161553423
07/26/18,1.3607827458
07/27/18,1.2385956397
07/28/18,2.0287568329
07/29/18,1.4709258313
07/30/18,4.2508569801
07/31/18,0.0398634483
